event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,latitude,longitude
781577,The New School 27th Annual Block Party,08/29/2024 04:30:00 PM,08/29/2024 07:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   12 STREET between 5 AVENUE and 6 AVENUE,Full,Full Street Closure,"2,","6,",40.7374566,-74.0011869
792155,Xavier High School Maroon and Blue Day,09/27/2024 10:00:00 AM,09/27/2024 01:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   16 STREET between 5 AVENUE and 6 AVENUE,Full,Full Street Closure,"5,","13,",40.7389,-74.0016
794292,Jewish New Years Street Festival,09/10/2024 04:30:00 PM,09/10/2024 06:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   22 STREET between 6 AVENUE and 5 AVENUE,Full,Full Street Closure,"4, 5,","13,",40.7464392,-74.0032561
788647,48th Annual Macys 4th of July Fireworks,07/04/2024 05:00:00 PM,07/04/2024 10:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"WEST   24 STREET between 12 AVENUE and 11 AVENUE,  WEST   22 STREET between 10 AVENUE and 11 AVENUE,  WEST   20 STREET between 10 AVENUE and 11 AVENUE,  WEST   19 STREET between 10 AVENUE and 11 AVENUE",Full,Full Street Closure,"4,","10,",40.7498793,-74.0073872
775461,Poster House Block Party,07/13/2024 11:00:00 AM,07/13/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   24 STREET between 6 AVENUE and 7 AVENUE,Full,Full Street Closure,"4,","13,",40.7498793,-74.0073872
785176,New Student Orientation Lunch Block Party,08/21/2024 01:00:00 PM,08/21/2024 10:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   27 STREET between 7 AVENUE and 8 AVENUE,Full,Full Street Closure,"5,","10,",40.7508114,-74.0037473
785959,2nd Annual Traffic Safey Fair,06/11/2024 10:00:00 AM,06/11/2024 02:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   30 STREET between 7 AVENUE and AVENUE OF AMERICAS,Full,Full Street Closure,"5,","14,",40.7463588,-73.9874321
773800,West 55th Street Block Association July 4 Party,07/04/2024 12:00:00 PM,07/04/2024 04:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   55 STREET between EIGHTH AVENUE and NINTH AVENUE,Full,Full Street Closure,"4,","18,",40.7622438,-73.9762651
763354,Climate Action and Earth Day Program for HSES,04/17/2024 11:00:00 AM,04/17/2024 02:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   56 STREET between 9 AVENUE and 10 AVENUE,Full,Full Street Closure,"4,","18,",40.7659502,-73.9831826
779560,50th Anniversary Celebration of Amsterdam Addition Housing,07/27/2024 12:00:00 PM,07/27/2024 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   64 STREET between AMSTERDAM AVENUE and WEST END AVENUE,Full,Full Street Closure,"7,","20,",40.7741339,-73.9867454
802364,Amsterdam Houses Family Day,08/17/2024 12:00:00 PM,08/17/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   64 STREET between WEST END AVENUE and AMSTERDAM AVENUE,Full,Full Street Closure,"7,","20,",40.7741339,-73.9867454
807205,Halloween Festival,10/31/2024 06:00:00 PM,10/31/2024 08:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   69 STREET between CENTRAL PARK WEST and BROADWAY,Full,Full Street Closure,"7,","20,",40.7748866,-73.9787927
811264,PS 199 Halloween Celebration,10/19/2024 08:00:00 AM,10/19/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   70 STREET between WEST END AVENUE and AMSTERDAM AVENUE,Full,Full Street Closure,"7,","20,",40.7766,-73.9829
799252,P.S. 87 Harvest Fest 2024,10/26/2024 01:00:00 PM,10/26/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   77 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Full,Full Street Closure,"7,","20,",40.7822199,-73.9801727
775930,West End Summer Block Party: Pride,06/29/2024 12:00:00 PM,06/29/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   77 STREET between BROADWAY and WEST END AVENUE,Full,Full Street Closure,"7,","20,",40.7822199,-73.9801727
790965,West End End Summer Block Party 2,08/14/2024 05:00:00 PM,08/14/2024 09:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   77 STREET between WEST END AVENUE and BROADWAY,Full,Full Street Closure,"7,","20,",40.7822199,-73.9801727
807235,Halloween 2024,10/31/2024 05:00:00 PM,10/31/2024 08:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   78 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Full,Full Street Closure,"7,","20,",40.7808,-73.9774
