route_id,route_short_name,route_long_name,serves_campuses,is_ace_enforced
Q83,Q83,Cambria Heights - Jamaica,['York College'],False
Q84,Q84,Laurelton - Jamaica,['York College'],False
Q85,Q85,Rosedale - Jamaica,['York College'],False
Q86,Q86,Rosedale - Jamaica,['York College'],False
Q87,Q87,Green Acres - Jamaica,['York College'],False
Q88,Q88,Elmhurst - Queens Village,['Queens College'],False
Q89,Q89,Green Acres - Jamaica,['York College'],False
QM63,QM63,Rosedale - Midtown Express,"['Guttman Community College', 'The Graduate School and University Center', 'Baruch College']",False
QM64,QM64,Elmont - Midtown Express,"['Guttman Community College', 'The Graduate School and University Center', 'Baruch College', 'York College']",False
QM68,QM68,Floral Park - Midtown Express,"['Guttman Community College', 'The Graduate School and University Center', 'Baruch College']",False
S62,S62,St. George - Travis,['College of Staten Island'],False
S92,S92,St. George - Travis LTD,['College of Staten Island'],False
S93,S93,College of Staten Island - Bay Ridge LTD,['College of Staten Island'],False
SIM1,SIM1,Eltingville - Lower Manhattan Express,['Borough of Manhattan Community College'],False
SIM10,SIM10, Eltingville - Midtown Manhattan Express,"['Guttman Community College', 'Baruch College']",False
SIM11,SIM11, New Dorp - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'Baruch College']",False
SIM1C,SIM1C,Eltingville - Manhattan Express,"['Borough of Manhattan Community College', 'Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'Baruch College']",False
SIM2,SIM2,Tottenville - Lower Manhattan Express,['Borough of Manhattan Community College'],False
SIM22,SIM22, Eltingville - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'School of Journalism']",False
SIM23,SIM23, Annadale - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'School of Professional Studies']",False
SIM24,SIM24, Prince's Bay - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'School of Professional Studies']",False
SIM25,SIM25, Tottenville - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'School of Journalism']",False
SIM26,SIM26, Tottenville - Midtown Manhattan Express,"['Guttman Community College', 'School of Journalism']",False
SIM3,SIM3,Pt. Richmond - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'Baruch College']",False
SIM30,SIM30, Sunnyside - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'School of Journalism']",False
SIM31,SIM31, Eltingville - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'Baruch College']",False
SIM32,SIM32, Travis - Lower Manhattan Express,"['Borough of Manhattan Community College', 'College of Staten Island']",False
SIM33,SIM33, Mariners Harbor - Manhattan Express,"['Borough of Manhattan Community College', 'College of Staten Island']",False
SIM33C,SIM33C, Mariners Harbor - Greenwich Village Express,"['Borough of Manhattan Community College', 'Guttman Community College', 'College of Staten Island', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'Baruch College']",False
SIM34,SIM34, Mariners Harbor - Lower Manhattan Express,['Borough of Manhattan Community College'],False
